,N,P,K,temperature,humidity,ph,rainfall,label
1000,91,94,46,29.36792366,76.24900101,6.149934034,92.82840911,banana
1001,105,95,50,27.33368994,83.67675197,5.849076099,101.0494791,banana
1002,108,92,53,27.40053601,82.96221306,6.276800323,104.9378,banana
1003,86,76,54,29.3159075,80.11585705,5.926824754,90.10978128,banana
1004,80,77,49,26.05433004,79.39654531,5.519088423,113.2297373,banana
1005,93,94,53,25.86632408,84.42379269,6.079178787999999,114.5357503,banana
1006,90,92,55,27.00932084,80.18546798,6.13465588,97.32531705,banana
1007,108,89,53,29.55054817,78.06762846,5.808497603999999,99.34482238,banana
1008,108,88,55,26.28845991,83.390039,5.891458107,113.8729798,banana
1009,105,77,52,29.16226551,76.16151562,5.816622478999999,100.0075679,banana
1010,118,88,52,28.65003945,82.68752542,5.8431631610000005,98.75084366,banana
1011,101,87,54,29.07311132,76.50045221,6.376756632999999,100.1692639,banana
1012,95,75,50,28.08166093,75.26429821,5.623615687000001,118.2761894,banana
1013,106,85,53,27.1994597,78.80860679999998,5.91505509,99.72430835,banana
1014,86,95,49,28.05484146,78.04602887,6.458714879,108.3957179,banana
1015,83,79,55,25.14748006,83.34688193,5.565028635,98.66679427,banana
1016,85,95,47,25.94019018,78.3422098,6.211833161,119.84797,banana
1017,109,79,45,27.66752761,79.68542782,6.490074429,108.66464,banana
1018,100,76,45,25.56703012,75.94067692,5.590236025,102.7867717,banana
1019,117,86,48,28.6956201,82.54195839,6.225225238999999,116.1616839,banana
1020,114,94,53,26.33544853,76.8532006,6.190757458999999,118.6858263,banana
1021,110,78,50,25.93730186,78.89864446,5.915568968,98.21747528,banana
1022,94,70,48,25.13686519,84.88394407,6.195152442,91.46442491,banana
1023,80,71,47,27.50527651,80.79783998,6.156373499,105.0776992,banana
1024,114,79,51,26.21009246,82.34429458,6.313197204,112.0700033,banana
1025,88,78,45,29.10403455,79.19588629,6.324270089,92.07835761,banana
1026,112,73,48,29.244063800000006,77.32017166,5.7074889870000005,90.66727868,banana
1027,117,76,47,25.56202173,77.38229006,6.119216009,93.10247183,banana
1028,111,87,48,26.3985515,81.36028902,5.571401169,98.16752001,banana
1029,89,83,47,28.09577643,77.79586769,5.63127166,109.5408614,banana
1030,93,91,47,27.84767901,83.31110751,6.101241579,117.2878912,banana
1031,92,81,52,27.39341554,81.4654833,6.438137278999998,94.31102057,banana
1032,105,74,45,25.14517635,81.38204104,6.098369122,119.218154,banana
1033,102,71,48,28.65456263,79.28693687,5.695267822000001,102.4633775,banana
1034,94,91,51,29.16093424,76.67484233,5.6180944460000015,109.575944,banana
1035,116,71,47,27.57278064,82.0638878,6.435785799,91.34276507,banana
1036,117,79,49,25.40909896,82.36208097,6.176644228,112.9794804,banana
1037,119,72,55,25.99069521,83.33983116,6.220643671,112.0777152,banana
1038,99,73,53,26.29039046,81.06003778,5.8717022110000014,118.6730366,banana
1039,91,84,52,29.14827211,78.71024836,6.390741836,117.536781,banana
1040,80,90,47,26.59743595,79.35898915,6.21084479,107.3944717,banana
1041,101,70,48,25.36059237,75.03193255,6.012696655,116.5531455,banana
1042,108,89,53,29.12036889,80.18080728,5.908770059,112.3982055,banana
1043,100,80,52,27.53911354,77.25629897,6.049801781,110.3262123,banana
1044,109,91,53,29.66727337,83.51014178,6.010095852999999,110.2511102,banana
1045,82,78,46,25.05802193,84.97323747,5.738678895,110.4408803,banana
1046,106,70,55,25.86824781,78.52399914,5.74055541,116.3019555,banana
1047,90,86,52,25.85036988,81.95580471,5.793260262,119.08561709999998,banana
1048,83,95,50,26.51682337,77.79913575,5.50947065,108.8547508,banana
1049,119,90,48,28.66725136,79.59242542,5.986442306,118.2583441,banana
1050,107,72,45,28.14938935,81.54448882,5.790768046,91.40508414,banana
1051,116,81,55,26.42313317,83.69950440000002,5.915546415,95.12322062,banana
1052,101,75,50,26.59386409,81.40740301,6.242528277999999,109.9825551,banana
1053,93,81,50,27.71822477,76.57853189,6.0360792660000016,102.2099836,banana
1054,95,75,45,28.98333432,82.95958244,5.829898502000001,109.022564,banana
1055,107,71,55,29.42017919,83.96754496,6.088064451,117.229079,banana
1056,83,94,47,27.39872329,81.10523402,6.469370954,112.1355384,banana
1057,102,73,54,26.4020227,84.41007614,5.720726906,111.0162259,banana
1058,86,79,45,27.81251452,82.69285419,5.80766417,99.20961514,banana
1059,117,86,53,25.19640218,83.55829874,5.703381727999999,115.8586081,banana
1060,111,79,53,28.31193338,75.77363772,6.165001277999999,119.695765,banana
1061,95,74,50,25.90113128,80.47152737,6.002481605,110.10323,banana
1062,91,75,55,27.48612983,76.11239849,6.212369363,109.2768851,banana
1063,93,83,46,29.38254012,83.50423735,5.765308943,109.2486647,banana
1064,92,85,51,29.22118628,81.08183635,5.740764682000001,108.8616474,banana
1065,104,80,54,27.09062164,81.33506906,5.879119455,110.1331182,banana
1066,103,72,51,26.12643374,81.81365007,6.099478745,104.4812858,banana
1067,92,75,45,29.01207743,77.95192527,5.674403358999999,90.43495443,banana
1068,93,85,49,27.96799119,79.28625709,5.694243847,119.4765557,banana
1069,120,87,52,28.0764455,76.05522115,5.905494703,118.99235729999998,banana
1070,108,72,46,25.16278237,84.97849241,6.110844721,90.94554618,banana
1071,105,88,54,25.78749808,84.51194224,6.020445317,114.2005455,banana
1072,98,79,50,25.34119774,84.47321314,6.435917308,91.06493353,banana
1073,111,88,55,29.44795403,78.34971537,5.505393832999999,96.45042585,banana
1074,97,74,45,26.47522633,78.51833782,5.677719902000001,113.1161095,banana
1075,95,82,48,27.39489579,83.31172003,5.719014989,92.78133617,banana
1076,89,91,55,25.08347445,80.26173100000003,6.275572297999999,94.32961456,banana
1077,89,85,55,26.671983500000003,76.48541655,6.275384607,91.73358569,banana
1078,118,88,51,25.44926208,79.49221962,6.201911642000001,100.6619171,banana
1079,101,92,45,28.22776705,80.64303840000002,5.758054257,98.00403016,banana
1080,99,92,47,28.127950899999995,77.48247073,6.3239336470000005,103.5045395,banana
1081,82,77,46,28.9470467,82.1888998,5.901100841,95.83016448,banana
1082,90,86,55,27.96236771,84.15403614,5.644486582000001,97.55986676,banana
1083,95,88,52,28.00316034,78.90085998,6.235461772000001,94.68180316,banana
1084,104,73,46,29.1400919,80.1190228,6.28236237,90.45142867,banana
1085,102,73,52,27.9122104,83.36307683,6.356090905,90.24211529,banana
1086,100,74,52,25.43480512,81.53977797,5.837258235,96.47800391,banana
1087,94,89,48,28.55980972,84.51602322,5.653437902,111.0843029,banana
1088,99,70,46,26.59580783,82.99556744,5.727469947,100.5123341,banana
1089,112,87,48,27.19711623,77.39706290000002,6.200111067999999,99.46950465,banana
1090,117,82,45,25.29391516,79.29122198,5.614471478,105.4220251,banana
1091,96,86,51,29.90888522,76.98740841,6.257369799,91.99964712,banana
1092,113,85,45,27.94972463,76.63713353,6.037430836,109.0921631,banana
1093,105,93,46,25.01018457,78.76260938,5.760457558,108.3690513,banana
1094,85,89,51,29.21144871,84.70189923,6.1581644220000005,108.5501443,banana
1095,108,94,47,27.35911627,84.54625006,6.387431382999999,90.81250457,banana
1096,92,81,52,28.0106804,76.52808057,5.891413895,103.7040783,banana
1097,110,71,54,28.67208915,82.20793613,5.725418961,94.37987496,banana
1098,82,75,55,27.34585147,78.48738349999998,6.281069505,92.15524332,banana
1099,117,81,53,29.50704598,78.20585613,5.507641777999999,98.12565829,banana
