,N,P,K,temperature,humidity,ph,rainfall,label
1900,133,47,24,24.40228894,79.19732001,7.231324765,90.8022356,cotton
1901,136,36,20,23.09595631,84.86275707,6.925412377000001,71.29581071,cotton
1902,104,47,18,23.9656349,76.97696717,7.633437412,90.75616738,cotton
1903,133,47,23,24.88738107,75.62137159,6.827354668,89.76050416,cotton
1904,126,38,23,25.36243778,83.63276077,6.176716425,88.43618918,cotton
1905,126,50,19,24.69457084,81.7358876,6.6287228360000015,78.58494391,cotton
1906,113,41,20,25.0017188,80.53965818,7.256877571,96.32600992,cotton
1907,121,45,22,22.45942937,81.30681027,6.443785385,64.23026638,cotton
1908,121,47,16,23.60564038,79.29573149,7.7232401510000015,72.49800885,cotton
1909,129,60,22,24.58453146,79.12404171,5.947448589,71.94608134,cotton
1910,107,45,25,23.0865933,83.55546146,7.2277455160000015,71.84080724,cotton
1911,122,59,18,23.5000992,83.63488952,6.219469084,79.81328183,cotton
1912,140,38,15,24.1472953,75.88298598,6.021439523,69.91563467,cotton
1913,102,49,21,24.69315538,84.84422454,6.253343655,89.799462,cotton
1914,111,40,25,24.48469200000001,84.44932014,6.187455798999999,90.94342484,cotton
1915,131,35,18,24.49112609,82.24415809,7.0576933660000005,64.02949379,cotton
1916,135,43,16,23.47986888,81.73049149,6.720449769,86.76287924,cotton
1917,100,46,18,24.18586246,76.04203958,6.4316895060000006,69.08056728,cotton
1918,123,39,24,25.00755095,78.17952126,7.453106264,86.06411872,cotton
1919,117,56,15,25.99237426,77.0543546,7.368258226,89.1188212,cotton
1920,121,36,24,23.66457347,81.69105088,7.352401887,99.36898373,cotton
1921,101,58,18,25.66891439,81.38103349,6.652143699,78.59595817,cotton
1922,107,42,24,22.04612876,84.62978302,6.144631795,86.00758678,cotton
1923,100,41,22,22.4204752,84.55794703,7.318802162000001,93.46595573,cotton
1924,125,39,21,25.03149561,82.21276599,7.954629324,95.0191318,cotton
1925,105,60,23,23.53371386,77.21705554,6.207652157,87.54004943,cotton
1926,102,46,19,22.77076388,82.5993307,6.631005298,81.49543437,cotton
1927,131,49,22,25.49848236,79.9751579,7.306918817000001,67.05961949,cotton
1928,139,35,15,25.248679,83.4630147,5.898293044,86.55517751,cotton
